name,author.1,author.2,author.3,narrator.1,narrator.2,narrator.3,time,Duration,releasedate,language,stars,price,releaseinfo
Geronimo Stilton #11 & #12,GeronimoStilton,,,BillLobely,,,2 hrs and 20 mins,0.02:20:00,04-08-2008,English,5,468.00,"04-08-2008, English"
The Burning Maze,RickRiordan,,,RobbieDaymond,,,13 hrs and 8 mins,0.13:08:00,01-05-2018,English,4.5,820.00,"01-05-2018, English"
The Deep End,JeffKinney,,,DanRussell,,,2 hrs and 3 mins,0.02:03:00,06-11-2020,English,4.5,410.00,"06-11-2020, English"
Daughter Of The Deep,RickRiordan,,,SoneelaNankani,,,11 hrs and 16 mins,0.11:16:00,05-10-2021,English,4.5,615.00,"05-10-2021, English"
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,,,JesseBernstein,,,10 hrs,0.10:00:00,13-01-2010,English,4.5,820.00,"13-01-2010, English"
The Hunger Games: Special Edition,SuzanneCollins,,,TatianaMaslany,,,10 hrs and 35 mins,0.10:35:00,30-10-2018,English,5,656.00,"30-10-2018, English"
Quest For The Diamond Sword,WinterMorgan,,,LukeDaniels,,,2 hrs and 23 mins,0.02:23:00,25-11-2014,English,5,233.00,"25-11-2014, English"
The Dark Prophecy,RickRiordan,,,RobbieDaymond,,,12 hrs and 32 mins,0.12:32:00,02-05-2017,English,5,820.00,"02-05-2017, English"
Merlin Mission Collection,MaryPopeOsborne,,,MaryPopeOsborne,,,10 hrs and 56 mins,0.10:56:00,02-05-2017,English,5,1256.00,"02-05-2017, English"
The Tyrant’S Tomb,RickRiordan,,,RobbieDaymond,,,13 hrs and 22 mins,0.13:22:00,24-09-2019,English,5,820.00,"24-09-2019, English"
"The Titan'S Curse: Percy Jackson, Book 3",RickRiordan,,,JesseBernstein,,,8 hrs and 48 mins,0.08:48:00,14-01-2010,English,4.5,820.00,"14-01-2010, English"
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,,,MaryPopeOsborne,,,5 hrs and 23 mins,0.05:23:00,24-08-2011,English,5,1206.00,"24-08-2011, English"
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,,,MaryPopeOsborne,,,6 hrs and 1 min,0.06:01:00,27-09-2011,English,5,1206.00,"27-09-2011, English"
Magnus Chase And The Ship Of The Dead,RickRiordan,,,MichaelCrouch,,,12 hrs and 58 mins,0.12:58:00,03-10-2017,English,5,820.00,"03-10-2017, English"
Northern Lights,PhilipPullman,,,PhilipPullman,fullcast,RuthWilson,11 hrs and 55 mins,0.11:55:00,24-06-2021,English,4,1093.00,"24-06-2021, English"
Geronimo Stilton #13 And #14,GeronimoStilton,,,BillLobley,,,2 hrs and 25 mins,0.02:25:00,08-02-2008,English,4.5,467.00,"08-02-2008, English"
